frame,track_id,x,y,w,h,class_id,conf
510,44,2262.43,748.6,2380.4,979.66,0,0.94
510,73,3410.65,799.46,3612.6,1034.23,3,0.47
520,1,2605.42,738.4,2725.2,963.16,1,0.97
520,2,1422.78,612.46,1529.12,807.17,0,0.85
520,5,3411.3,806.24,3632.89,1043.96,3,0.44
520,16,2811.32,820.77,2954.43,1072.58,2,0.88
520,34,3029.97,797.99,3142.43,1033.86,0,0.93
520,44,2262.5,748.69,2379.72,979.15,0,0.93
520,73,3412.46,799.93,3614.45,1031.64,3,0.61
530,1,2605.3,738.34,2725.84,962.91,1,0.98
530,2,1422.8,612.61,1527.51,804.38,0,0.87
530,5,3411.73,807.01,3631.92,1047.76,3,0.79
530,16,2811.57,819.94,2954.66,1070.94,2,0.81
530,34,3029.89,796.63,3143.3,1032.64,0,0.93
530,44,2262.48,749.14,2378.7,979.05,0,0.95
530,73,3414.25,801.03,3615.76,1034.49,3,0.65
540,1,2605.4,739.23,2725.24,962.87,1,0.98
540,2,1409.54,633.8,1563.14,836.73,0,0.5
540,5,3411.9,807.47,3631.58,1049.13,3,0.8
540,16,2812.08,820.18,2956.22,1070.92,2,0.79
540,34,3029.57,794.31,3145.03,1031.86,0,0.96
540,44,2261.9,748.8,2378.36,979.57,0,0.94
540,73,3414.83,801.16,3615.75,1035.31,3,0.69
550,1,2605.16,738.77,2725.64,963.37,1,0.98
550,5,3413.38,807.54,3631.29,1048.33,3,0.51
550,16,2811.82,819.87,2957.17,1071.32,2,0.89
550,34,3029.71,794.39,3144.5,1031.98,0,0.94
550,44,2261.07,748.25,2378.01,980.57,0,0.93
550,73,3415.24,800.68,3615.48,1036.76,3,0.7
560,1,2605.31,737.87,2725.14,962.91,1,0.98
560,16,2812.92,820.79,2956.56,1071.35,2,0.84
560,34,3029.12,793.9,3142.56,1032.93,0,0.94
560,44,2259.98,746.91,2379.03,980.34,0,0.94
560,151,2021.62,798.2,2157.81,1048.19,0,0.95
560,2,1414.38,619.44,1539.25,809.78,0,0.57
570,1,2604.97,736.88,2725.5,963.05,1,0.98
570,16,2812.81,820.74,2956.59,1071.78,2,0.79
570,34,3028.89,793.64,3141.66,1033.4,0,0.94
570,44,2259.57,745.59,2379.55,981.39,0,0.93
570,151,2010.27,759.23,2128.63,998.96,0,0.96
570,154,1279.91,634.42,1436.29,831.55,3,0.63
570,2,1414.59,615.23,1530.29,801.14,3,0.67
570,5,3410.76,800.35,3604.41,1022.49,3,0.75
580,1,2603.92,736.63,2726.33,964.51,1,0.95
580,16,2811.28,819.63,2956.51,1072.43,2,0.78
580,34,3028.88,793.6,3141.93,1033.74,0,0.91
580,44,2259.38,745.05,2379.66,981.05,0,0.93
580,151,2002.75,726.53,2114.81,952.95,0,0.94
580,154,1281.3,636.35,1440.78,833.64,3,0.68
580,2,1412.22,613.93,1527.98,797.53,3,0.79
580,156,3413.96,801.12,3612.75,1028.15,3,0.62
580,5,3411.65,805.22,3623.97,1040.87,3,0.85
590,1,2604.13,735.98,2726.6,965.29,1,0.94
590,16,2810.45,819.84,2955.56,1072.19,2,0.67
590,34,3028.07,792.55,3143.72,1034.82,0,0.93
590,44,2259.45,745.97,2379.44,980.5,0,0.93
590,151,1997.05,703.02,2108.16,921.12,0,0.93
590,154,1277.21,638.89,1431.83,830.39,3,0.56
590,2,1415.08,614.57,1527,799.5,0,0.63
590,156,3413.93,800.55,3617.1,1032.68,3,0.65
590,5,3411.44,807.31,3628.51,1046.17,3,0.73
600,1,2604.59,736.81,2725.45,965.81,1,0.98
600,16,2811.41,819.12,2954.73,1072.76,2,0.47
600,34,3028.14,791.82,3144.86,1035.57,0,0.92
600,44,2259.84,744.43,2380.2,982.7,0,0.88
600,151,1996.49,691.74,2107.57,903.14,0,0.94
600,2,1421.39,613.83,1528.1,803.95,0,0.67
600,5,3411.82,810.09,3626.89,1047.48,3,0.68
600,167,3809.29,839.51,3940.76,1083.4,0,0.88
610,1,2604.67,737.61,2725.57,966.08,1,0.99
610,16,2811.36,820.32,2953.57,1071.45,2,0.46
610,34,3027.7,793.74,3143.43,1035.88,0,0.9
610,44,2261.79,735.43,2381.53,970.22,0,0.92
610,151,1992.86,684.86,2104.21,896.77,0,0.93
610,2,1422.98,613.72,1529.45,806.88,0,0.68
610,5,3411.69,811.24,3626.15,1047.78,3,0.77
610,167,3827.06,824.39,3955.05,1064.56,0,0.93
620,1,2605.15,737.81,2726.35,965.48,1,0.99
620,34,3026.96,794.25,3142.99,1029.58,0,0.9
620,44,2264.8,707.14,2379.34,935.71,0,0.95
620,151,1992.1,683.9,2103.57,895.41,0,0.91
620,2,1424.39,611.63,1531.56,807.01,0,0.85
620,5,3411.49,811.32,3627.83,1047.8,3,0.69
620,167,3834.87,818.59,3955.96,1049,0,0.91
620,180,3418.31,808.33,3625.86,1029.38,3,0.33
630,1,2604.13,735.91,2725.69,965,1,0.98
630,34,3028.11,787.4,3145.76,985.54,0,0.87
630,44,2264.53,670.73,2374.42,883.09,0,0.94
630,151,1991.33,683.95,2102.59,894.75,0,0.95
630,2,1432.87,600.65,1534.31,795.46,0,0.88
630,5,3414.8,812.51,3631.29,1047.38,3,0.28
630,167,3839.61,815.54,3955.19,1041.13,0,0.66
630,180,3419.4,807.79,3630.54,1029.95,3,0.27
630,182,3835.84,818.26,3952.35,1044.56,0,0.68
630,16,2817.04,815.1,2954.59,1024.89,2,0.5
640,1,2607.32,722.39,2727.23,945.78,1,0.89
640,34,3028.9,786.92,3148.04,991.74,0,0.78
640,44,2274.22,624.3,2380.4,825.96,0,0.93
640,151,1990.92,684.28,2101.73,893.87,0,0.96
640,2,1440.41,592.54,1536.77,776.72,1,0.56
640,5,3416.31,801.71,3614.87,1039.22,3,0.68
640,167,3840.27,816.42,3954.72,1040.1,0,0.48
640,180,3419.93,804.81,3625.11,1037.34,3,0.74
640,182,3835.22,820.02,3951.12,1044.95,0,0.88
650,1,2617.66,694.11,2736.4,912.22,1,0.92
650,34,3028.27,785.95,3146.14,990.05,0,0.54
650,44,2305.35,578.01,2407.88,771.52,0,0.86
650,151,1989.43,666.65,2094.93,870.75,0,0.75
650,2,1468.08,566.67,1566,744.61,0,0.81
650,167,3839.61,816.44,3953.69,1039.97,0,0.62
650,182,3834.07,820.51,3950.18,1045.6,0,0.83
650,16,2811.69,806.92,2950.15,1045.38,2,0.71
660,1,2638.44,654.24,2747.86,862.24,1,0.91
660,34,3019.48,775.71,3133.89,1009.66,0,0.49
660,44,2321.77,526.7,2418.73,707.51,0,0.93
660,151,1960.97,628.42,2059.77,827.77,0,0.92
660,2,1474,535.76,1565.42,712.67,0,0.82
